xstr ystr
1.96475772 1.24401940
1.97486011 1.26099474
1.98455046 1.27821250
1.99381363 1.29566804

0.01000000 0.80000000
0.03005560 0.79879556
0.05007077 0.79651529
0.06998281 0.79338092
0.08976971 0.78963594
0.10944165 0.78549641
0.12902453 0.78113387
0.14854757 0.77667750
0.16803722 0.77222269
0.18751501 0.76783980
0.20699744 0.76358124
0.22649655 0.75948649
0.24602076 0.75558576
0.26557552 0.75190242
0.28516403 0.74845477
0.30478764 0.74525724
0.32444631 0.74232121
0.34413887 0.73965566
0.36386331 0.73726760
0.38361691 0.73516240
0.40339648 0.73334405
0.42319839 0.73181539
0.44301878 0.73057821
0.46285354 0.72963344
0.48269846 0.72898126
0.50254927 0.72862118
0.52240167 0.72855214
0.54225138 0.72877262
0.56209417 0.72928066
0.58192589 0.73007400
0.60174250 0.73115008
0.62154004 0.73250613
0.64131468 0.73413923
0.66106273 0.73604633
0.68078058 0.73822435
0.70046478 0.74067013
0.72011197 0.74338057
0.73971890 0.74635258
0.75928244 0.74958313
0.77879951 0.75306932
0.79826715 0.75680832
0.81768245 0.76079747
0.83704255 0.76503423
0.85634464 0.76951624
0.87558594 0.77424127
0.89476368 0.77920732
0.91387512 0.78441254
0.93291749 0.78985527
0.95188800 0.79553405
0.97078383 0.80144762
0.98960212 0.80759489
1.00833996 0.81397498
1.02699435 0.82058722
1.04556223 0.82743110
1.06404044 0.83450631
1.08242570 0.84181274
1.10071462 0.84935045
1.11890370 0.85711967
1.13698928 0.86512083
1.15496754 0.87335451
1.17283451 0.88182146
1.19058602 0.89052259
1.20821773 0.89945897
1.22572508 0.90863181
1.24310330 0.91804245
1.26034737 0.92769237
1.27745204 0.93758319
1.29441178 0.94771663
1.31122081 0.95809451
1.32787303 0.96871875
1.34436203 0.97959137
1.36068110 0.99071443
1.37682315 1.00209008
1.39278078 1.01372050
1.40854616 1.02560787
1.42411111 1.03775443
1.43946700 1.05016236
1.45460480 1.06283382
1.46951504 1.07577092
1.48418775 1.08897567
1.49861252 1.10244997
1.51277843 1.11619556
1.52667407 1.13021400
1.54028750 1.14450663
1.55360628 1.15907450
1.56661740 1.17391838
1.57930737 1.18903864
1.59166216 1.20443525
1.60366720 1.22010769
1.61530744 1.23605491
1.62656737 1.25227526
1.63743099 1.26876641
1.64788193 1.28552529
1.65790344 1.30254803
1.66747849 1.31982986
1.67658981 1.33736508
1.68522003 1.35514696
1.69335170 1.37316769
1.70096749 1.39141831
1.70805025 1.40988870
1.71458317 1.42856750
1.72054997 1.44744210
1.72593497 1.46649864
1.73072337 1.48572204
1.73490132 1.50509598
1.73845613 1.52460299
1.74137647 1.54422455
1.74365247 1.56394112
1.74527589 1.58373233
1.74624026 1.60357707
1.74654096 1.62345369
1.74617532 1.64334015
1.74514265 1.66321422
1.74344429 1.68305366
1.74108354 1.70283644
1.73806570 1.72254089
1.73439792 1.74214590
1.73008914 1.76163110
1.72514995 1.78097698
1.71959246 1.80016507
1.71343014 1.81917798
1.70667763 1.83799954
1.69935060 1.85661484
1.69146554 1.87501025
1.68303961 1.89317349
1.67409047 1.91109356
1.66463613 1.92876077
1.65469480 1.94616669
1.64428472 1.96330409
1.63342413 1.98016689
1.62213108 1.99675011

0.01000000 0.90000000
0.03012615 0.89829808
0.05011734 0.89537965
0.06990055 0.89183614
0.08953016 0.88807626
0.10907678 0.88433029
0.12859155 0.88072294
0.14810596 0.87732328
0.16763800 0.87417123
0.18719716 0.87129098
0.20678763 0.86869792
0.22641028 0.86640225
0.24606389 0.86441106
0.26574586 0.86272939
0.28545266 0.86136094
0.30518015 0.86030840
0.32492375 0.85957374
0.34467860 0.85915831
0.36443962 0.85906298
0.38420161 0.85928816
0.40395929 0.85983391
0.42370733 0.86069992
0.44344040 0.86188560
0.46315318 0.86339008
0.48284038 0.86521225
0.50249675 0.86735083
0.52211712 0.86980433
0.54169636 0.87257116
0.56122941 0.87564959
0.58071128 0.87903786
0.60013704 0.88273413
0.61950181 0.88673657
0.63880076 0.89104336
0.65802912 0.89565271
0.67718212 0.90056290
0.69625501 0.90577228
0.71524304 0.91127933
0.73414147 0.91708261
0.75294549 0.92318084
0.77165026 0.92957288
0.79025087 0.93625775
0.80874233 0.94323463
0.82711951 0.95050287
0.84537721 0.95806199
0.86351002 0.96591172
0.88151241 0.97405194
0.89937863 0.98248272
0.91710274 0.99120432
0.93467852 1.00021717
0.95209955 1.00952186
0.96935907 1.01911915
0.98645005 1.02900998
1.00336510 1.03919539
1.02009650 1.04967658
1.03663611 1.06045487
1.05297540 1.07153167
1.06910539 1.08290848
1.08501663 1.09458684
1.10069920 1.10656836
1.11614263 1.11885463
1.13133591 1.13144723
1.14626745 1.14434766
1.16092506 1.15755734
1.17529593 1.17107755
1.18936660 1.18490936
1.20312293 1.19905359
1.21655010 1.21351078
1.22963262 1.22828106
1.24235428 1.24336415
1.25469816 1.25875922
1.26664668 1.27446483
1.27818157 1.29047886
1.28928395 1.30679837
1.29993434 1.32341955
1.31011273 1.34033757
1.31979867 1.35754650
1.32897136 1.37503920
1.33760978 1.39280720
1.34569281 1.41084065
1.35319942 1.42912816
1.36010885 1.44765681
1.36640079 1.46641200
1.37205565 1.48537752
1.37705477 1.50453544
1.38138068 1.52386621
1.38501737 1.54334869
1.38795053 1.56296025
1.39016779 1.58267689
1.39165898 1.60247344
1.39241629 1.62232374
1.39243444 1.64220092
1.39171081 1.66207762
1.39024551 1.68192628
1.38804137 1.70171948
1.38510395 1.72143016
1.38144140 1.74103195
1.37706436 1.76049941
1.37198579 1.77980828
1.36622069 1.79893566
1.35978594 1.81786020
1.35270001 1.83656220
1.34498265 1.85502372
1.33665471 1.87322861
1.32773781 1.89116252
1.31825412 1.90881289
1.30822613 1.92616891
1.29767644 1.94322141
1.28662759 1.95996285
1.27510188 1.97638711
1.26312123 1.99248950

0.01000000 1.00000000
0.02782114 1.00018578
0.04647027 1.00060226
0.06543997 1.00126603
0.08457776 1.00218926
0.10381446 1.00338197
0.12311106 1.00485296
0.14244216 1.00661007
0.16178934 1.00866048
0.18113809 1.01101075
0.20047624 1.01366695
0.21979305 1.01663467
0.23907870 1.01991909
0.25832394 1.02352500
0.27751992 1.02745683
0.29665797 1.03171871
0.31572958 1.03631444
0.33472624 1.04124759
0.35363947 1.04652146
0.37246070 1.05213915
0.39118129 1.05810359
0.40979243 1.06441752
0.42828518 1.07108359
0.44665038 1.07810432
0.46487865 1.08548214
0.48296034 1.09321945
0.50088548 1.10131858
0.51864378 1.10978186
0.53622456 1.11861158
0.55361673 1.12781007
0.57080869 1.13737962
0.58778837 1.14732257
0.60454308 1.15764122
0.62105954 1.16833788
0.63732376 1.17941486
0.65332102 1.19087437
0.66903579 1.20271857
0.68445167 1.21494950
0.69955135 1.22756902
0.71431651 1.24057874
0.72872778 1.25397996
0.74276468 1.26777361
0.75640559 1.28196007
0.76962767 1.29653911
0.78240685 1.31150975
0.79471784 1.32687006
0.80653407 1.34261704
0.81782780 1.35874640
0.82857011 1.37525234
0.83873105 1.39212735
0.84827977 1.40936196
0.85718472 1.42694451
0.86541387 1.44486092
0.87293509 1.46309443
0.87971648 1.48162546
0.88572683 1.50043139
0.89093612 1.51948652
0.89531609 1.53876198
0.89884085 1.55822582
0.90148742 1.57784317
0.90323639 1.59757649
0.90407244 1.61738598
0.90398481 1.63723001
0.90296770 1.65706578
0.90102046 1.67684989
0.89814774 1.69653907
0.89435937 1.71609087
0.88967016 1.73546431
0.88409952 1.75462049
0.87767102 1.77352313
0.87041174 1.79213894
0.86235173 1.81043792
0.85352332 1.82839355
0.84396046 1.84598282
0.83369819 1.86318620
0.82277203 1.87998753
0.81121750 1.89637380
0.79906976 1.91233494
0.78636321 1.92786355
0.77313125 1.94295460
0.75940608 1.95760519
0.74521856 1.97181421
0.73059810 1.98558215
0.71557260 1.99891082

0.01000000 1.10000000
0.03006725 1.10250629
0.04976682 1.10689920
0.06900636 1.11247252
0.08786738 1.11878973
0.10643865 1.12563328
0.12477789 1.13290113
0.14291650 1.14054732
0.16086869 1.14855332
0.17863785 1.15691447
0.19622046 1.16563322
0.21360841 1.17471579
0.23079027 1.18417031
0.24775207 1.19400589
0.26447776 1.20423202
0.28094938 1.21485830
0.29714720 1.22589420
0.31304973 1.23734895
0.32863361 1.24923145
0.34387362 1.26155015
0.35874245 1.27431294
0.37321066 1.28752703
0.38724643 1.30119880
0.40081549 1.31533358
0.41388086 1.32993542
0.42640281 1.34500674
0.43833866 1.36054804
0.44964274 1.37655738
0.46026641 1.39302989
0.47015815 1.40995718
0.47926376 1.42732665
0.48752684 1.44512077
0.49488934 1.46331635
0.50129250 1.48188375
0.50667795 1.50078625
0.51098920 1.51997948
0.51417333 1.53941120
0.51618292 1.55902136
0.51697808 1.57874259
0.51652844 1.59850120
0.51481486 1.61821871
0.51183078 1.63781376
0.50758286 1.65720440
0.50209104 1.67631047
0.49538776 1.69505589
0.48751661 1.71337064
0.47853043 1.73119234
0.46848916 1.74846723
0.45745758 1.76515055
0.44550318 1.78120654
0.43269427 1.79660788
0.41909836 1.81133496
0.40478102 1.82537494
0.38980490 1.83872070
0.37422925 1.85136986
0.35810951 1.86332382
0.34149725 1.87458695
0.32444016 1.88516579
0.30698219 1.89506846
0.28916375 1.90430411
0.27102199 1.91288251
0.25259100 1.92081368
0.23390214 1.92810763
0.21498432 1.93477414
0.19586421 1.94082258
0.17656654 1.94626179
0.15711430 1.95110000
0.13752900 1.95534471
0.11783085 1.95900268
0.09803894 1.96207988
0.07817144 1.96458143
0.05824577 1.96651164
0.03827875 1.96787395
0.01828672 1.96867092
-0.00171427 1.96890426
-0.02170833 1.96857481
-0.04167961 1.96768253
-0.06161216 1.96622650
-0.08148979 1.96420494
-0.10129593 1.96161521
-0.12101347 1.95845380
-0.14062465 1.95471637
-0.16011084 1.95039772
-0.17945244 1.94549187
-0.19862866 1.93999205
-0.21761733 1.93389074
-0.23639472 1.92717977
-0.25493529 1.91985032
-0.27321147 1.91189311
-0.29119342 1.90329847
-0.30884875 1.89405652
-0.32614228 1.88415741
-0.34303574 1.87359159
-0.35948753 1.86235014
-0.37545250 1.85042523
-0.39088172 1.83781063
-0.40572239 1.82450235
-0.41991782 1.81049936
-0.43340758 1.79580450
-0.44612781 1.78042539
-0.45801184 1.76437550
-0.46899108 1.74767519
-0.47899627 1.73035271
-0.48795907 1.71244511
-0.49581408 1.69399879
-0.50250101 1.67506971
-0.50796710 1.65572302
-0.51216940 1.63603221
-0.51507687 1.61607745
-0.51667185 1.59594358
-0.51695094 1.57571756
